brand,product,region_code,week_start,metric,value
hexal,lorano_5mg_20stk,BY,2021-12-27,sell_out_units,5092.5
hexal,lorano_5mg_20stk,BY,2021-12-27,sell_out_revenue_eur,45322.87
hexal,lorano_5mg_20stk,BY,2022-01-03,sell_out_units,4763.5
hexal,lorano_5mg_20stk,BY,2022-01-03,sell_out_revenue_eur,42395.26
hexal,lorano_5mg_20stk,BY,2022-01-10,sell_out_units,5141.8
hexal,lorano_5mg_20stk,BY,2022-01-10,sell_out_revenue_eur,45761.82
hexal,lorano_5mg_20stk,BY,2022-01-17,sell_out_units,5283.3
hexal,lorano_5mg_20stk,BY,2022-01-17,sell_out_revenue_eur,47021.13
hexal,lorano_5mg_20stk,BY,2022-01-24,sell_out_units,4734.1
hexal,lorano_5mg_20stk,BY,2022-01-24,sell_out_revenue_eur,42133.3
hexal,lorano_5mg_20stk,BY,2022-01-31,sell_out_units,5260.1
hexal,lorano_5mg_20stk,BY,2022-01-31,sell_out_revenue_eur,46814.75
hexal,lorano_5mg_20stk,BY,2022-02-07,sell_out_units,6556.1
hexal,lorano_5mg_20stk,BY,2022-02-07,sell_out_revenue_eur,58348.89
hexal,lorano_5mg_20stk,BY,2022-02-14,sell_out_units,7505.1
hexal,lorano_5mg_20stk,BY,2022-02-14,sell_out_revenue_eur,66795.3
hexal,lorano_5mg_20stk,BY,2022-02-21,sell_out_units,7170.0
hexal,lorano_5mg_20stk,BY,2022-02-21,sell_out_revenue_eur,63813.01
hexal,lorano_5mg_20stk,BY,2022-02-28,sell_out_units,6326.5
hexal,lorano_5mg_20stk,BY,2022-02-28,sell_out_revenue_eur,56305.83
hexal,lorano_5mg_20stk,BY,2022-03-07,sell_out_units,7596.5
hexal,lorano_5mg_20stk,BY,2022-03-07,sell_out_revenue_eur,67608.53
hexal,lorano_5mg_20stk,BY,2022-03-14,sell_out_units,7350.7
hexal,lorano_5mg_20stk,BY,2022-03-14,sell_out_revenue_eur,65421.14
hexal,lorano_5mg_20stk,BY,2022-03-21,sell_out_units,6448.3
hexal,lorano_5mg_20stk,BY,2022-03-21,sell_out_revenue_eur,57389.51
hexal,lorano_5mg_20stk,BY,2022-03-28,sell_out_units,8139.3
hexal,lorano_5mg_20stk,BY,2022-03-28,sell_out_revenue_eur,72439.9
hexal,lorano_5mg_20stk,BY,2022-04-04,sell_out_units,8844.2
hexal,lorano_5mg_20stk,BY,2022-04-04,sell_out_revenue_eur,78713.77
hexal,lorano_5mg_20stk,BY,2022-04-11,sell_out_units,10285.8
hexal,lorano_5mg_20stk,BY,2022-04-11,sell_out_revenue_eur,91543.81
hexal,lorano_5mg_20stk,BY,2022-04-18,sell_out_units,10444.6
hexal,lorano_5mg_20stk,BY,2022-04-18,sell_out_revenue_eur,92957.0
hexal,lorano_5mg_20stk,BY,2022-04-25,sell_out_units,9652.9
hexal,lorano_5mg_20stk,BY,2022-04-25,sell_out_revenue_eur,85911.25
hexal,lorano_5mg_20stk,BY,2022-05-02,sell_out_units,10419.3
hexal,lorano_5mg_20stk,BY,2022-05-02,sell_out_revenue_eur,92731.41
hexal,lorano_5mg_20stk,BY,2022-05-09,sell_out_units,9932.8
hexal,lorano_5mg_20stk,BY,2022-05-09,sell_out_revenue_eur,88401.67
hexal,lorano_5mg_20stk,BY,2022-05-16,sell_out_units,8977.5
hexal,lorano_5mg_20stk,BY,2022-05-16,sell_out_revenue_eur,79899.76
hexal,lorano_5mg_20stk,BY,2022-05-23,sell_out_units,8079.3
hexal,lorano_5mg_20stk,BY,2022-05-23,sell_out_revenue_eur,71906.05
hexal,lorano_5mg_20stk,BY,2022-05-30,sell_out_units,9183.7
hexal,lorano_5mg_20stk,BY,2022-05-30,sell_out_revenue_eur,81734.9
hexal,lorano_5mg_20stk,BY,2022-06-06,sell_out_units,7657.9
hexal,lorano_5mg_20stk,BY,2022-06-06,sell_out_revenue_eur,68155.5
hexal,lorano_5mg_20stk,BY,2022-06-13,sell_out_units,7273.9
hexal,lorano_5mg_20stk,BY,2022-06-13,sell_out_revenue_eur,64737.77
hexal,lorano_5mg_20stk,BY,2022-06-20,sell_out_units,6846.7
hexal,lorano_5mg_20stk,BY,2022-06-20,sell_out_revenue_eur,60935.97
hexal,lorano_5mg_20stk,BY,2022-06-27,sell_out_units,6765.4
hexal,lorano_5mg_20stk,BY,2022-06-27,sell_out_revenue_eur,60212.03
hexal,lorano_5mg_20stk,BY,2022-07-04,sell_out_units,6233.2
hexal,lorano_5mg_20stk,BY,2022-07-04,sell_out_revenue_eur,55475.88
hexal,lorano_5mg_20stk,BY,2022-07-11,sell_out_units,6314.0
hexal,lorano_5mg_20stk,BY,2022-07-11,sell_out_revenue_eur,56194.96
hexal,lorano_5mg_20stk,BY,2022-07-18,sell_out_units,6086.1
hexal,lorano_5mg_20stk,BY,2022-07-18,sell_out_revenue_eur,54166.51
hexal,lorano_5mg_20stk,BY,2022-07-25,sell_out_units,6151.7
hexal,lorano_5mg_20stk,BY,2022-07-25,sell_out_revenue_eur,54749.96
hexal,lorano_5mg_20stk,BY,2022-08-01,sell_out_units,5132.5
hexal,lorano_5mg_20stk,BY,2022-08-01,sell_out_revenue_eur,45679.06
hexal,lorano_5mg_20stk,BY,2022-08-08,sell_out_units,4977.6
hexal,lorano_5mg_20stk,BY,2022-08-08,sell_out_revenue_eur,44300.86
hexal,lorano_5mg_20stk,BY,2022-08-15,sell_out_units,4846.5
hexal,lorano_5mg_20stk,BY,2022-08-15,sell_out_revenue_eur,43133.54
hexal,lorano_5mg_20stk,BY,2022-08-22,sell_out_units,5066.6
hexal,lorano_5mg_20stk,BY,2022-08-22,sell_out_revenue_eur,45092.73
hexal,lorano_5mg_20stk,BY,2022-08-29,sell_out_units,5278.9
hexal,lorano_5mg_20stk,BY,2022-08-29,sell_out_revenue_eur,46982.27
hexal,lorano_5mg_20stk,BY,2022-09-05,sell_out_units,4834.3
hexal,lorano_5mg_20stk,BY,2022-09-05,sell_out_revenue_eur,43024.92
hexal,lorano_5mg_20stk,BY,2022-09-12,sell_out_units,4440.3
hexal,lorano_5mg_20stk,BY,2022-09-12,sell_out_revenue_eur,39518.76
hexal,lorano_5mg_20stk,BY,2022-09-19,sell_out_units,4399.6
hexal,lorano_5mg_20stk,BY,2022-09-19,sell_out_revenue_eur,39156.54
hexal,lorano_5mg_20stk,BY,2022-09-26,sell_out_units,4843.7
hexal,lorano_5mg_20stk,BY,2022-09-26,sell_out_revenue_eur,43109.3
hexal,lorano_5mg_20stk,BY,2022-10-03,sell_out_units,4797.6
hexal,lorano_5mg_20stk,BY,2022-10-03,sell_out_revenue_eur,42698.95
hexal,lorano_5mg_20stk,BY,2022-10-10,sell_out_units,4673.3
hexal,lorano_5mg_20stk,BY,2022-10-10,sell_out_revenue_eur,41592.52
hexal,lorano_5mg_20stk,BY,2022-10-17,sell_out_units,4435.7
hexal,lorano_5mg_20stk,BY,2022-10-17,sell_out_revenue_eur,39477.66
hexal,lorano_5mg_20stk,BY,2022-10-24,sell_out_units,4684.0
hexal,lorano_5mg_20stk,BY,2022-10-24,sell_out_revenue_eur,41687.38
hexal,lorano_5mg_20stk,BY,2022-10-31,sell_out_units,4573.6
hexal,lorano_5mg_20stk,BY,2022-10-31,sell_out_revenue_eur,40704.84
hexal,lorano_5mg_20stk,BY,2022-11-07,sell_out_units,4636.6
hexal,lorano_5mg_20stk,BY,2022-11-07,sell_out_revenue_eur,41266.04
hexal,lorano_5mg_20stk,BY,2022-11-14,sell_out_units,5011.6
hexal,lorano_5mg_20stk,BY,2022-11-14,sell_out_revenue_eur,44602.81
hexal,lorano_5mg_20stk,BY,2022-11-21,sell_out_units,4657.2
hexal,lorano_5mg_20stk,BY,2022-11-21,sell_out_revenue_eur,41448.77
hexal,lorano_5mg_20stk,BY,2022-11-28,sell_out_units,4707.7
hexal,lorano_5mg_20stk,BY,2022-11-28,sell_out_revenue_eur,41898.28
hexal,lorano_5mg_20stk,BY,2022-12-05,sell_out_units,4852.7
hexal,lorano_5mg_20stk,BY,2022-12-05,sell_out_revenue_eur,43189.47
hexal,lorano_5mg_20stk,BY,2022-12-12,sell_out_units,5777.7
hexal,lorano_5mg_20stk,BY,2022-12-12,sell_out_revenue_eur,51421.58
hexal,lorano_5mg_20stk,BY,2022-12-19,sell_out_units,4707.2
hexal,lorano_5mg_20stk,BY,2022-12-19,sell_out_revenue_eur,41893.78
hexal,lorano_5mg_20stk,BY,2022-12-26,sell_out_units,4405.3
hexal,lorano_5mg_20stk,BY,2022-12-26,sell_out_revenue_eur,39207.45
hexal,lorano_5mg_20stk,BY,2023-01-02,sell_out_units,5164.1
hexal,lorano_5mg_20stk,BY,2023-01-02,sell_out_revenue_eur,45960.24
hexal,lorano_5mg_20stk,BY,2023-01-09,sell_out_units,5245.5
hexal,lorano_5mg_20stk,BY,2023-01-09,sell_out_revenue_eur,46684.99
hexal,lorano_5mg_20stk,BY,2023-01-16,sell_out_units,6190.9
hexal,lorano_5mg_20stk,BY,2023-01-16,sell_out_revenue_eur,55099.31
hexal,lorano_5mg_20stk,BY,2023-01-23,sell_out_units,5035.0
hexal,lorano_5mg_20stk,BY,2023-01-23,sell_out_revenue_eur,44811.39
hexal,lorano_5mg_20stk,BY,2023-01-30,sell_out_units,5882.4
hexal,lorano_5mg_20stk,BY,2023-01-30,sell_out_revenue_eur,52353.23
hexal,lorano_5mg_20stk,BY,2023-02-06,sell_out_units,4950.8
hexal,lorano_5mg_20stk,BY,2023-02-06,sell_out_revenue_eur,44062.25
hexal,lorano_5mg_20stk,BY,2023-02-13,sell_out_units,6207.7
hexal,lorano_5mg_20stk,BY,2023-02-13,sell_out_revenue_eur,55248.58
hexal,lorano_5mg_20stk,BY,2023-02-20,sell_out_units,6966.3
hexal,lorano_5mg_20stk,BY,2023-02-20,sell_out_revenue_eur,62000.36
hexal,lorano_5mg_20stk,BY,2023-02-27,sell_out_units,5945.3
hexal,lorano_5mg_20stk,BY,2023-02-27,sell_out_revenue_eur,52912.83
hexal,lorano_5mg_20stk,BY,2023-03-06,sell_out_units,6403.5
hexal,lorano_5mg_20stk,BY,2023-03-06,sell_out_revenue_eur,56991.02
hexal,lorano_5mg_20stk,BY,2023-03-13,sell_out_units,6247.3
hexal,lorano_5mg_20stk,BY,2023-03-13,sell_out_revenue_eur,55601.15
hexal,lorano_5mg_20stk,BY,2023-03-20,sell_out_units,5665.2
hexal,lorano_5mg_20stk,BY,2023-03-20,sell_out_revenue_eur,50420.07
hexal,lorano_5mg_20stk,BY,2023-03-27,sell_out_units,6988.6
hexal,lorano_5mg_20stk,BY,2023-03-27,sell_out_revenue_eur,62198.32
hexal,lorano_5mg_20stk,BY,2023-04-03,sell_out_units,7288.6
hexal,lorano_5mg_20stk,BY,2023-04-03,sell_out_revenue_eur,64868.36
hexal,lorano_5mg_20stk,BY,2023-04-10,sell_out_units,7625.7
hexal,lorano_5mg_20stk,BY,2023-04-10,sell_out_revenue_eur,67868.34
hexal,lorano_5mg_20stk,BY,2023-04-17,sell_out_units,9403.9
hexal,lorano_5mg_20stk,BY,2023-04-17,sell_out_revenue_eur,83694.28
hexal,lorano_5mg_20stk,BY,2023-04-24,sell_out_units,8805.1
hexal,lorano_5mg_20stk,BY,2023-04-24,sell_out_revenue_eur,78365.11
hexal,lorano_5mg_20stk,BY,2023-05-01,sell_out_units,9445.3
hexal,lorano_5mg_20stk,BY,2023-05-01,sell_out_revenue_eur,84063.19
hexal,lorano_5mg_20stk,BY,2023-05-08,sell_out_units,8422.8
hexal,lorano_5mg_20stk,BY,2023-05-08,sell_out_revenue_eur,74962.94
hexal,lorano_5mg_20stk,BY,2023-05-15,sell_out_units,8573.4
hexal,lorano_5mg_20stk,BY,2023-05-15,sell_out_revenue_eur,76303.11
hexal,lorano_5mg_20stk,BY,2023-05-22,sell_out_units,8895.9
hexal,lorano_5mg_20stk,BY,2023-05-22,sell_out_revenue_eur,79173.5
hexal,lorano_5mg_20stk,BY,2023-05-29,sell_out_units,9293.8
hexal,lorano_5mg_20stk,BY,2023-05-29,sell_out_revenue_eur,82715.03
hexal,lorano_5mg_20stk,BY,2023-06-05,sell_out_units,9151.6
hexal,lorano_5mg_20stk,BY,2023-06-05,sell_out_revenue_eur,81448.94
hexal,lorano_5mg_20stk,BY,2023-06-12,sell_out_units,7835.5
hexal,lorano_5mg_20stk,BY,2023-06-12,sell_out_revenue_eur,69736.36
hexal,lorano_5mg_20stk,BY,2023-06-19,sell_out_units,7682.0
hexal,lorano_5mg_20stk,BY,2023-06-19,sell_out_revenue_eur,68369.46
hexal,lorano_5mg_20stk,BY,2023-06-26,sell_out_units,7463.6
hexal,lorano_5mg_20stk,BY,2023-06-26,sell_out_revenue_eur,66425.64
hexal,lorano_5mg_20stk,BY,2023-07-03,sell_out_units,6809.1
hexal,lorano_5mg_20stk,BY,2023-07-03,sell_out_revenue_eur,60601.12
hexal,lorano_5mg_20stk,BY,2023-07-10,sell_out_units,6972.5
hexal,lorano_5mg_20stk,BY,2023-07-10,sell_out_revenue_eur,62055.46
hexal,lorano_5mg_20stk,BY,2023-07-17,sell_out_units,6226.3
hexal,lorano_5mg_20stk,BY,2023-07-17,sell_out_revenue_eur,55414.51
hexal,lorano_5mg_20stk,BY,2023-07-24,sell_out_units,5680.9
hexal,lorano_5mg_20stk,BY,2023-07-24,sell_out_revenue_eur,50560.03
hexal,lorano_5mg_20stk,BY,2023-07-31,sell_out_units,5728.8
hexal,lorano_5mg_20stk,BY,2023-07-31,sell_out_revenue_eur,50986.38
hexal,lorano_5mg_20stk,BY,2023-08-07,sell_out_units,5756.0
hexal,lorano_5mg_20stk,BY,2023-08-07,sell_out_revenue_eur,51228.46
hexal,lorano_5mg_20stk,BY,2023-08-14,sell_out_units,6040.0
